Producers,Headquarters,Value chain,Website,Species,Production process,Industry (Applications),Industry subsector tags,Investors,Association focus,Founding year,Start-up/scale-up?,Total disclosed investments since 2020,Development stage
Ebb Tides,UK,Farming & harvesting,https://www.ebbtides.co.uk/,,Wild harvesting,,,,,2016,,$0,
Ebbing Tides,Netherlands,Consulting,https://www.ebbing-tides.com/seaweed,,,,,,,,,$0,
Eco Cascade,UK,Processing,https://www.eco-cascade.com/,,,,Whole-plant,,,2022,,$0,
Ecology Action Centre,Canada,Multi-stakeholder platform,https://ecologyaction.ca/,,,,,,,,,$0,
Ecosphere,UK,Applications,https://ecosphereuk.com/,,,Textiles,,,,2017,checked,$0,Validation / Traction
Egojang Greenfood,South Korea,Applications,http://www.lkfood.co.kr/,,,Food,,,,,,$0,
EKO GEA,Slovenia,Applications,https://www.ekogea-int.com/,Ascophyllum nodosum,,"Feed,Plant & soil nutrition,Bioremediation / wastewater treatment,Energy",Livestock feed,,,,,$0,
Eldey Aqua,Iceland,Farming & harvesting,http://www.kelp.is/,Saccharina latissima,"IMTA,Aquaculture",,,,,2019,,$0,
electricAlgae,Israel,Applications,https://www.electric-algae.com/,,,Energy,,i4Valley,,2023,checked,$0,Research / product development
Emerald Isle Seaweed,Ireland,Farming & harvesting,https://emeraldisleseaweed.com/,"Fucus vesiculosus,Himanthalia elongata,Laminaria digitata,Palmaria palmata,Saccharina latissima",Wild harvesting,,,,,,,$0,
Emerald Seaweed Indonesia,Indonesia,Applications,https://www.indonesiaseaweed.com/company/emerald-seaweed-indonesia/,,,Hydrocolloids,Agar,,,,,$0,
Energy Algae,Israel,Farming & harvesting,https://energy-algae.com/,Sargassum sp.,Wild harvesting,"Energy,HABs",Biofuel,,,2019,checked,$0,Research / product development
Environmental Defense Fund,USA,Conservation & restoration,https://www.edf.org/,,,,,,,,,$0,
Envirostrat,New Zealand,Consulting,https://envirostrat.co.nz/,,,,,,,,,$0,
Enzalg,New Zealand,Applications,http://enzalg.co.nz/,,,"Food,Nutraceuticals",Fucoidans,,,,,$0,
Equa,Canada,Farming & harvesting,https://www.equa.ca/,"Saccharina latissima,Nereocystis luetkeana,Alaria marginata",Aquaculture,,,,,2021,,$0,
Equigel,Senegal,Farming & harvesting,https://equigelgroupesenegal.wordpress.com/,"Hypnea musciformis,Meristotheca senegalensis,Gracilaria sp.,Ulva fasciata","Aquaculture,Wild harvesting",,,,,2013,,$0,
Equil,USA,Farming & harvesting,https://www.equil.earth/,Gracilaria sp.,"Aquaculture,Onshore",,,,,2022,checked,$0,Research / product development
ER Lab / ER Soulier,France,Applications,https://www.erlab.io/,,,"HABs,Textiles",,Blue Bio Value,,2023,checked,$0,Pilot / Demonstration
Eranova,France,"Farming & harvesting,Applications",https://eranovabioplastics.com/,Ulva rigida,"Aquaculture,Wild harvesting","Bioplastics / biomaterials,HABs",,"Total Développement Régional,Symphony Environmental,Indorama Ventures",,2016,checked,"$8,400,000",Pilot / Demonstration
EstAgar,Estonia,"Farming & harvesting,Applications",https://estagar.ee/,Furcellaria lumbricalis,Wild harvesting,Hydrocolloids,Carrageenan,,,1989,,$0,
Eurocaviar,Spain,Applications,https://eurocaviar.es/en/,"Undaria Pinnatifida,Codium fragile",,Food,,,,,,$0,
Eurogum (Bang & Bonsomer),Denmark,Applications,https://eurogum.bangbonsomer.com/,,,Hydrocolloids,"Carrageenan,Alginate",,,,,$0,
European Algae Biomass Association (EABA),Italy,Multi-stakeholder platform,https://www.eaba-association.org/,,,,,,Producers association,,,$0,
Ever-Grow,South Africa,Applications,http://www.ever-grow.co.za/,,,Plant & soil nutrition,,,,,,$0,
Evergreen Labs,Vietnam,Farming & harvesting,https://www.linkedin.com/posts/evergreenlabsorg_evergreenlabs-sustainableshrimp-seaweedpower-activity-7191738722596356096-9WAC/,,"Aquaculture,IMTA",,,,,2024,,$0,
Everything Seaweed (acquired),USA,Processing,https://www.everythingseaweed.net/,,,,Biorefinery,Blue Bio Value,,2021,checked,$0,Acquired / Merged
Evoware,Indonesia,Applications,https://rethink-plastic.com/,,,Bioplastics / biomaterials,,,,2016,checked,$0,Validation / Traction
Eyre Shellfish,Australia,Breeding & propagation,http://eyreshellfish.com.au/,Asparagopsis taxiformis,,,,,,,,$0,
Falcon International,Bangladesh,Farming & harvesting,https://www.linkedin.com/in/omar-hasan-905a42120,,Aquaculture,,,,,2008,,$0,
Falconi Mare ApS,Denmark,"Consulting,Distribution",https://www.falconi-mare.dk/,,,,,,,,,$0,
Farmesa,Argentina,Applications,https://www.farmesa.com/,,,Hydrocolloids,Carrageenan,,,,,$0,
Fazenda Marinha Camiranga,Brazil,"Farming & harvesting,Applications",,Kappaphycus alvarezii,Nearshore,Plant & soil nutrition,,,,,,$0,
Fearless Fund (zombie),USA,"Infrastructure & equipment,Farming & harvesting,Processing,Applications",https://www.fearlessfund.org/,"Ulva sp.,Sargassum sp.,Ulva lactuca,Gracilaria sp.,Fucus sp.","Wild harvesting,Aquaculture,Offshore","Carbon sequestration,Energy,HABs",Biorefinery,"Angel investors (various),ARPA-E",,2017,checked,$0,Failed / Zombie
Ferda Farms,USA,"Breeding & propagation,Farming & harvesting",https://www.ferdafarms.com/,,,,,,,,,$0,
Fermbiotics,Denmark,Applications,https://fermbiotics.com/,,,"Nutraceuticals,Feed",Pet food,Plug and Play,,2017,checked,$0,Validation / Traction
Ferme Maricole Purmer,Canada,Farming & harvesting,https://ferme-purmer.com/,,,,,,,,,$0,
Fermentation Experts,Denmark,Applications,https://fermentationexperts.com/,,,Feed,,,,,,$0,
Fertipower,Portugal,Applications,https://www.fertipower.pt/,Ascophyllum nodosum,,Plant & soil nutrition,,,,,,$0,
FGS Organics,UK,"Applications,Farming & harvesting",https://www.fgsorganics.co.uk/,,Wild harvesting,Plant & soil nutrition,,,,,,$0,
Ficosterra,Spain,Applications,https://www.ficosterra.com/en/,"Macrocystis pyrifera,Laminaria sp.",,Plant & soil nutrition,,Blue Bio Value,,2016,checked,$0,Validation / Traction
Fine Foods Islandica,Iceland,"Farming & harvesting,Applications",https://finefoods.is/,,Nearshore,Food,,,,,,$0,
Fiora Mara,USA,Farming & harvesting,https://fioramara.com/,,Aquaculture,Carbon sequestration,,,,2024,checked,$0,Research / product development
Firdous Biotech,Tanzania,Applications,https://www.firdousbiotech.com/,Eucheuma denticulatum,,Plant & soil nutrition,,,,2021,checked,$0,Validation / Traction
FlexSea,UK,Applications,https://flex-sea.com/,,,Bioplastics / biomaterials,,"Blue Bio Value,MassChallenge,Undaunted / The Greenhouse,Vala Capital,Food Foundry,Sustainable Ocean Alliance,Indico Capital Partners,Btomorrow Ventures,ICON Capital,Pente Capital,RedRice Ventures",,2021,checked,"$3,650,000",Pilot / Demonstration
FMC,USA,Applications,http://www.fmc.com/,,,"Hydrocolloids,Nutraceuticals,Plant & soil nutrition","Alginate,Carrageenan",,,,,$0,
Folla Alger AS,Norway,Farming & harvesting,https://www.follaalger.no/,Saccharina latissima,"Aquaculture,IMTA",,,,,2017,,$0,
Food4Future,Poland,Processing,https://f4ftech.com/,,,,Biorefinery,,,,,$0,
Foodmate,China,Applications,https://www.foodmategroup.com/,,,Hydrocolloids,Carrageenan,,,,,$0,
Foraged & Found,USA,"Farming & harvesting,Applications",https://foragednfound.com/,,Wild harvesting,Food,Snacks and seasoning,Alaska Ocean Cluster,,2019,checked,$0,Validation / Traction
Forever Oceans,USA,Farming & harvesting,https://www.foreveroceans.com/,,"Aquaculture,IMTA",,,,,,,$0,
France Haliotis,France,Farming & harvesting,https://www.francehaliotis.com/,,"Wild harvesting,Aquaculture",Feed,,,,,,$0,
Fremantle Seaweed,Australia,Farming & harvesting,https://fremantleseaweed.com/,Asparagopsis sp.,Aquaculture,Feed,Livestock methane reduction,,,2020,,"$830,000",
Froilanchem,Philippines,Applications,https://www.facebook.com/p/Froilanchem-Corporation-100083143009610/,,,Hydrocolloids,Carrageenan,Meloy Fund,,,,$0,
"Fujian Global Ocean Biotechnology Co.,Ltd",China,Applications,http://www.globalocean-agar.com/,,,Hydrocolloids,"Agar,Carrageenan",,,2010,,$0,
Fujian Gold Swallow Ocean Biotech,China,"Farming & harvesting,Applications",,,,Hydrocolloids,"Carrageenan,Agar",,,2010,,$0,
Fujian Green Power Biotechnology Co.,China,Applications,https://www.greenpower.com.cn/,,,Hydrocolloids,Carrageenan,,,,,$0,
Fujian Shenshilan Foods,China,"Farming & harvesting,Applications",http://www.jzslchina.com/,Porphyra yezoensis,,Food,Dried/raw seaweed,,,2004,,$0,
"Fujian Yiyuan Marine Food Co., Ltd.",China,"Farming & harvesting,Applications",https://www.xiapuhaidai.com/,"Porphyra yezoensis,Saccharina latissima",,Food,Dried/raw seaweed,,,2002,,$0,
Fujicco,Japan,Applications,https://www.fujicco.co.jp/english/,,,Food,Dried/raw seaweed,,,,,$0,
Fujikuni Bussan Co. ,Japan,Applications,http://www.fujikunibussan.com/,,,Food,Dried/raw seaweed,,,,,$0,
Fukui Co.,Japan,Applications,https://nori-fukui.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Fukuoka Ariake Sea Fisheries Cooperative Association,Japan,"Farming & harvesting,Applications",https://fukuoka-ariake.com/,,,Food,Dried/raw seaweed,,,,,$0,
Funabashi City Fisheries Cooperation,Japan,Farming & harvesting,https://www.funabashi-gyokyou.jp/,Porphyra sp.,Nearshore,,,,,,,$0,
Fundacion Valve,Peru,"Research,Multi-stakeholder platform",https://fundacionvalve.org/,,,,,,Scientific association,,,$0,
Furcella Oü (Berrichi),Estonia,Applications,https://berrichi.eu/,,,Personal care,,,,,,$0,
Futuralga,Spain,"Applications,Farming & harvesting",https://futuralga.com/,,Wild harvesting,Bioplastics / biomaterials,,"Blue Bio Value,ProtoAtlantic",,2018,checked,$0,Research / product development
FutureFeed,Australia,Applications,https://www.future-feed.com/,Asparagopsis sp.,,Feed,Livestock methane reduction,"Woolworths,GrainCorp,Harvest Road,Sparklabs Cultiv8,CSIRO",,2019,checked,"$9,340,000",Validation / Traction
Fuzhou Beautiful Agricultural Development Co.,China,Applications,https://fzseaweed.en.alibaba.com/,,,Food,Dried/raw seaweed,,,2011,,$0,
Fuzhou Wangduofu Biotechnology Co.,China,Applications,https://www.zhipin.com/companys/0b0b3ab4cd2420083nF62d-_.html,,,Food,,,,2003,,$0,
Fyki Agritech,India,Farming & harvesting,http://www.fyki.in/,"Kappaphycus alvarezii,Gelidium sp.,Gracilaria sp.",Aquaculture,,,,,2020,checked,$0,Validation / Traction
Galic Artabahari,Indonesia,Applications,https://www.ptgab.com/,,,Hydrocolloids,Carrageenan,,,,,$0,
Galic Bina Mada,Indonesia,Applications,https://galicbinamada.com/,,,Hydrocolloids,"Alginate,Carrageenan",,,,,$0,
Galuriña,Spain,Applications,https://galurina.com/,,,Food,,,,,,$0,
Gamai,Malaysia,"Farming & harvesting,Applications",https://www.tiktok.com/@latok_gamai?lang=en,Caulerpa lentillifera,"Nearshore,Onshore,Aquaculture",Food,,,,,,$0,
Gamro Seafood Association,South Korea,Applications,https://www.jobkorea.co.kr/company/45277023,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
GaoLv Seaweed Group Co,China,"Farming & harvesting,Applications",http://www.sdgaolv.cn/en/,,"Aquaculture,IMTA,Nearshore",Food,,,,1999,,$0,
Geem,USA,Applications,https://eatgeem.com/,Porphyra sp.,,Food,Snacks and seasoning,,,2022,,$0,
Geltech Hayco Inc.,Philippines,Applications,https://www.gmdu.net/corp-776743.html,,,Hydrocolloids,Carrageenan,,,,,$0,
Gelymar,Chile,"Farming & harvesting,Applications",https://www.gelymar.com/,"Sarcothalia crispata,Sarcopeltis skottsbergii,Mazzaella laminarioides,Chondracanthus chamissoi,Chondrus crispus,Chondrus canaliculatus,Lessonia berteroana,Lessonia trabeculata,Macrocystis pyrifera,Durvillaea incurvata",Wild harvesting,Hydrocolloids,Carrageenan,,,,,$0,
Genesea,Israel,"Applications,Farming & harvesting,Processing",https://www.genesea.net/,,Aquaculture,Food,,,,2024,checked,$0,Research / product development
Get Inspired,USA,Conservation & restoration,https://getinspiredinc.org/,,,,,,,,,$0,
Gijang Mulsan Co,South Korea,"Farming & harvesting,Applications",https://www.gijangmulsan.com/,,Aquaculture,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Gimme Health Foods,USA,Applications,https://gimmeseaweed.com/,Porphyra yezoensis,,Food,Snacks and seasoning,,,2012,checked,$0,Scale-up / Industrialisation
Giwang Citra Laut,Indonesia,Applications,https://www.daftarperusahaan.com/bisnis/giwang-citra-laut-pt,,,Hydrocolloids,Agar,,,,,$0,
Glenfarrow,UK,Infrastructure & equipment,https://glenfarrow.co.uk/,,,,,,,,,$0,
Global Seaweed Coalition,France,Multi-stakeholder platform,https://www.safeseaweedcoalition.org/,,,,,,Growing the industry,,,$0,
GlobeXplore,France,Farming & harvesting,https://www.algues.fr/en/,"Himanthalia elongata,Palmaria palmata,Porphyra umbilicalis,Saccharina latissima,Ulva sp.,Undaria sp.",Wild harvesting,Food,,,,1986,,$0,
Glycomar,UK,Research,https://www.glycomar.com/,,,Pharmaceuticals,,,,,,$0,
Goa Ventures,Netherlands,Processing,https://goa-ventures.com/,,,"Energy,Food",Biorefinery,"Seventure Partners,Blue Forward Fund",,2016,checked,$0,Pilot / Demonstration
Godbawi,South Korea,Applications,https://www.godbawee.com/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Goemar (Arysta),France,Applications,https://www.linkedin.com/company/laboratoires-go-mar/,Ascophyllum nodosum,,Plant & soil nutrition,,,,1971,checked,$0,Acquired / Merged
Golden Era,India,Applications,https://goldenera.org.in/,,,"Nutraceuticals,Plant & soil nutrition,Feed,Personal care",Aquafeed,,,2020,checked,$0,Validation / Traction
Gowanus Canal Kelp Farm / RETI Center,USA,Research,https://gothamist.com/news/gowanus-canal-kelp-farm-celebrates-its-first-commercial-harvest,Saccharina latissima,,,,,,,,$0,
Gracias-Algas,Chile,Farming & harvesting,https://gracias-algas.com/en/,"Lessonia sp.,Durvillaea antarctica",Wild harvesting,,,,,1992,,$0,
Gracilarias de Panama,Panama,Farming & harvesting,https://gracilarias.org/,"Gracilaria sp.,Kappaphycus alvarezii,Eucheuma denticulatum",Aquaculture,,,,,,,$0,
Green Angel,Ireland,Applications,https://www.greenangel.com/,,,Personal care,,,,2006,,$0,
Green Aqua Company,Portugal,"Infrastructure & equipment,Processing",https://greenaqua.pt/,,,,Biorefinery,,,2021,checked,$0,Pilot / Demonstration
Green Aqua Farm (failed),Singapore,Farming & harvesting,,Caulerpa lentillifera,Aquaculture,Food,,,,2020,checked,$0,Failed / Zombie
Green Gravel Action Group,Australia,Conservation & restoration,https://www.greengravel.org/,,,,,,,,,$0,
Green Petroleum,Australia,Consulting,https://green-petroleum.net/,,,,,,,,,$0,
Greener Grazing,Portugal,"Farming & harvesting,Infrastructure & equipment",https://www.greenergrazing.org/,Asparagopsis sp.,"Aquaculture,Offshore,IMTA",Feed,Livestock methane reduction,"Australis Aquaculture,Packard Foundation,Asian Development Bank",,2018,checked,"$15,000,000",Pilot / Demonstration
Greenfresh (Fujian Province Lvqi Food Colloid),China,"Applications,Farming & harvesting",https://www.greenfreshfood.com/,,,Hydrocolloids,"Agar,Carrageenan",,,1995,checked,$0,Mature / Public
GreenWave,USA,"Breeding & propagation,Multi-stakeholder platform",https://www.greenwave.org/,,,,,,Growing the industry,2014,,$0,
Grisea,Brazil,Applications,https://www.grisea.com.br/,,,Bioplastics / biomaterials,,,,2021,checked,$0,Research / product development
Grogenics,Monaco,"Farming & harvesting,Applications",https://www.grogenics.eco/,Sargassum sp.,Wild harvesting,"Plant & soil nutrition,Energy,HABs",Biochar / hydrochar,,,2018,checked,$0,Validation / Traction
Groupe Roullier (Timac Agro),France,Applications,https://www.timacagro.com/,Ascophyllum nodosum,,Plant & soil nutrition,,,,,,$0,
Grow-Trees,India,Multi-stakeholder platform,https://thefishsite.com/articles/seaweed-farming-initiative-launched-in-india,,,,,,Improving farmers' lives,,,$0,
GSI Creos,Japan,Applications,https://kosyohin.gsi.co.jp/ja/material/material-1181166498380903350.html,,,Personal care,,,,,,$0,
"Guangdong Hizense Seaweed Biological Technology Co., Ltd",China,"Applications,Farming & harvesting",,Gracilaria sp.,Aquaculture,Hydrocolloids,Agar,,,1986,,$0,
Guernsey Seaweed / The Seaweed Food Company,UK,"Farming & harvesting,Applications",https://theseaweedfoodcompany.com/,,Wild harvesting,"Personal care,Food",,,,,,$0,
Gyoren Hokko,Japan,Applications,http://www.g-hokko.co.jp/en/index.html,,,Food,Dried/raw seaweed,,,,,$0,
Haechomiin,South Korea,Applications,http://haechomiin.com/,,,Food,,,,,,$0,
Haeckels,UK,Applications,https://www.haeckels.co.uk/,,,Personal care,,Estée Lauder,,2012,,$0,
Haedamsol (Kimdaegam),South Korea,Applications,https://kdg21.com/,,,Food,,,,,,$0,
Haejeo Foods,South Korea,Applications,http://hjgim.co.kr/,Porphyra yezoensis,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Haemifood,South Korea,Applications,http://haemifood.co.kr/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Haenong,South Korea,Applications,https://www.haenong.com/,,,Food,"Snacks and seasoning,Dried/raw seaweed",,,,,$0,
Haeppeum,South Korea,"Applications,Farming & harvesting",http://haeppeum.com/,Capsosiphon fulvescens,,Food,,,,,,$0,
Haerim Fucoidan,South Korea,Applications,https://haerimfucoidan.com/,,,Pharmaceuticals,Fucoidans,,,,,$0,
Hafkalk ehf.,Iceland,"Farming & harvesting,Applications",https://www.hafkalk.com/,Lithothamnium calcareum,Wild harvesting,Nutraceuticals,,,,2000,,$0,
Hai'an Lanbo,China,"Farming & harvesting,Applications",http://www.lbnori.com/,Porphyra yezoensis,"Aquaculture,Nearshore",Food,Dried/raw seaweed,,,1992,,$0,
Haida Foods,China,"Farming & harvesting,Applications",http://www.haidafood.com/,Porphyra yezoensis,,Food,,,,,,$0,
Haisheng Health Technology (Qingdao) Co.,China,Applications,,,,Personal care,,,,2019,,$0,
"Haiyang Hongmao Seaweed Co., Ltd",China,"Applications,Farming & harvesting",https://hmseaweed.en.made-in-china.com/,,,Hydrocolloids,Alginate,,,2006,,$0,
Haiyang Xiangyu Seaweed,China,Applications,http://www.xiangyuseaweed.com/English/gongshijianjie.aspx,,,Hydrocolloids,"Alginate,Carrageenan",,,,,$0,
"Haiyang Zhouji Seaweed Co., Ltd",China,"Applications,Farming & harvesting",http://www.zhoujichina.com/,,,"Plant & soil nutrition,Hydrocolloids",Alginate,,,2005,,$0,
Hakiki Donarta,Indonesia,Applications,https://produkhakiki.com/,,,Hydrocolloids,Agar,,,2011,,$0,
Halophilic Marine Agriculture,Vietnam,Farming & harvesting,https://www.halophilic.org/,"Caulerpa spp.,Gracilaria sp.",,,,Hatch,,2023,checked,$0,Pilot / Demonstration
"Hangzhou Chenfeng Seaweed Co., Ltd",China,Applications,www.hzcfhz.com,,,Hydrocolloids,Alginate,,,2007,,$0,
Hanwool Food,South Korea,Applications,http://hanwoolfood.com/,,,,,,,,,$0,
Happy Ocean Foods,Germany,Applications,https://happyoceanfoods.com/,,,Food,Seafood substitute,Angel investors (various),,2019,checked,"$717,000",Validation / Traction
Harmony Coast,USA,Conservation & restoration,https://harmonycoast.org/,,,,,,,,,$0,
Havhøst,Denmark,Multi-stakeholder platform,https://xn--havhst-eya.dk/,,,,,,Growing the industry,,,$0,
Hayashikane,Japan,Applications,https://www.hayashikane.co.jp/enjoylearn/functionalmaterial/ascophyllan/,Ascophyllum nodosum,,Pharmaceuticals,,,,,,$0,
Healthy Seaweed Co.,Tanzania,Applications,https://healthyseaweedcafe.co.tz/,,,Food,,Oceanhub Africa,,,,$0,
Hebridean Seaweed Company,UK,"Farming & harvesting,Applications",https://hebrideanseaweed.com/,Ascophyllum nodosum,Wild harvesting,Plant & soil nutrition,,,,,,$0,
Help our Kelp,UK,Conservation & restoration,https://sussexwildlifetrust.org.uk/helpourkelp,,,,,,,,,$0,
Henry Lamotte Oils,Germany,Distribution,https://lamotte-oils.de/,,,,,,,,,$0,
Heos Marine,New Caledonia,Consulting,https://heos-marine.com/db/index.php?/category/seaweed_biodiversity,,,,,,,,,$0,
Hep Ken,France,Applications,https://www.hepken-alguesbio.com/,,,Food,,,,2019,,$0,
Heritage Seaweed,USA,Applications,https://www.heritageseaweed.com/,,,Food,Seaweed added to traditional product,,,,,$0,
Heung il Food,South Korea,Applications,https://heungilfood.co.kr/,,,Food,,,,,,$0,
Hi-Q,Taiwan,Processing,https://www.fucoidanhiq.com/en,,,"Personal care,Nutraceuticals",Fucoidans,,,1998,checked,$0,Mature / Public
Hidaka Food Industry Co.,Japan,Applications,https://www.hidaka-foods.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
High Tide Seaweed,UK,Applications,https://www.hightideseaweed.co.uk/,,,Food,Snacks and seasoning,,,2021,,$0,
HiMedia,India,Applications,https://www.himedialabs.com/,,,Hydrocolloids,"Agar,Carrageenan,Alginate",,,1975,checked,$0,Mature / Public
Hirokon Foods Co.,Japan,Applications,https://www.hirokonfoods.co.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Hiroshima Nori,Japan,Applications,https://www.hiroshimanori-eshop.jp/,,,Food,Dried/raw seaweed,,,,,$0,
Hispanagar,Spain,Applications,https://www.hispanagar.com/en,,,Hydrocolloids,"Agar,Carrageenan",,,,,$0,
HN Novatech,South Korea,Applications,https://hnnt.co.kr/,,,Food,,"Logan Ventures,Idea Bridge",,2016,checked,"$4,000,000",Validation / Traction
HoanBlue,Somalia,Farming & harvesting,https://hoanblue.com/,,,,,,,2024,,$0,
Hokkaido Federation of Fisheries,Japan,"Farming & harvesting,Applications",https://www.gyoren.or.jp/konbu/index.html,,,Food,Dried/raw seaweed,,,,,$0,
Hokkaido Marine,Japan,"Processing,Consulting,Monitoring tech & software,Applications",https://hokkaido-marine.com/,,,Pharmaceuticals,Extraction,,,,,$0,
Holdfast Aquaculture,USA,Breeding & propagation,https://www.holdfastaq.com/,,,,,,,,,$0,
HoldfastNL,Canada,Farming & harvesting,https://www.holdfastnl.com/,,,,,,,2023,,$0,
Homey Group International,China,"Applications,Farming & harvesting",http://homeygroup.com/,,"Aquaculture,IMTA",Food,,,,1978,,$0,
Honpo,Japan,"Conservation & restoration,Applications",https://seaweed.co.jp/pages/31/,,,Food,,,,,,$0,
Horizon Seaweed,UK,Farming & harvesting,https://horizonseaweed.com/,"Ascophyllum nodosum,Chondrus crispus,Fucus sp.,Himanthalia sp.,Laminaria digitata,Osmundea pinnatifida,Palmaria palmata,Porphyra sp.,Saccharina latissima",Wild harvesting,,,,,2018,checked,$0,Validation / Traction
Hortimare,Netherlands,"Breeding & propagation,Consulting",https://hortimare.com/,"Alaria esculenta,Palmaria palmata,Saccharina latissima",Aquaculture,,,,,2008,checked,$0,Validation / Traction
House of Seaweed / Seaweed Enterprises ,UK,"Farming & harvesting,Processing,Applications",https://www.houseofseaweed.com/,"Laminaria digitata,Palmaria palmata,Saccharina latissima",Wild harvesting,Food,Whole-plant,,,2023,checked,"$760,000",Pilot / Demonstration
HQ Seaweed ,Spain,"Farming & harvesting,Applications",https://hqseaweed.com/en/,"Codium sp.,Ulva sp.,Undaria sp.,Gracilaria sp.,Palmaria palmata,Laminaria ochroleuca,Himanthalia elongata,Undaria Pinnatifida",Wild harvesting,Food,,,,2016,checked,$0,Validation / Traction
Huiro Regenerativo,Chile,"Breeding & propagation,Farming & harvesting",https://www.huiroregenerativo.com/,"Agarophyton chilensis,Macrocystis pyrifera",,,,,,2021,checked,$0,Pilot / Demonstration
Hump Island Oyster Company,USA,Farming & harvesting,https://www.humpislandoyster.com/,Nereocystis luetkeana,Aquaculture,,,,,,,$0,
Hydrocolloid Indonesia,Indonesia,Applications,http://www.hydrocolloid-indonesia.com/,,,Hydrocolloids,Carrageenan,,,,,$0,
Hyndla ehf,Iceland,Research,https://hyndla.is/,Schizymenia jonssonii,,,,,,,,$0,
Hyung Je Fisheries (Gim Siwol),South Korea,"Applications,Farming & harvesting",https://thegim.kr/,Porphyra yezoensis,,Food,,,,,,$0,
I-AM Innovation Center,Netherlands,Monitoring tech & software,https://www.northseafarmers.org/news/20232410-i-am,,,,,,,,,$0,
Iberagar,Portugal,Applications,https://iberagar.com/,,,Hydrocolloids,"Agar,Carrageenan",,,,,$0,
Ibis Madagascar,Madagascar,Farming & harvesting,http://www.ibis-algoculture.com/ibis/,"Kappaphycus alvarezii,Eucheuma denticulatum","Aquaculture,Nearshore",,,,,,,$0,
ICCSIR ,India,Multi-stakeholder platform,http://www.iccsir.org,,,,,,Improving farmers' lives,,,$0,
Iceland Organic,Iceland,"Farming & harvesting,Applications",https://icelandorganic.org/,,Wild harvesting,Nutraceuticals,,,,,,$0,
IFFCO (Sagarika w Aquagri),India,Applications,https://www.iffco.in/,Kappaphycus alvarezii,,Plant & soil nutrition,,,,1968,,$0,
IJO,Indonesia,Applications,https://ijonesia.com/,,,Bioplastics / biomaterials,,,,2021,checked,$0,Research / product development
Ikooma,Belize,Applications,https://ikooma.com/,Eucheuma isiforme,,Personal care,,,,2019,,$0,
Immersion Group (Seascape Restorations),Australia,Farming & harvesting,https://seascaperestorations.com.au/,Asparagopsis armata,Aquaculture,Feed,Livestock methane reduction,Nissui,,2021,checked,$0,Research / product development
Ina Food Industry,Japan,Applications,https://www.kantenpp.co.jp/,,,Hydrocolloids,"Agar,Carrageenan",,,,,$0,
Ínclita Seaweed Solutions,Portugal,Processing,https://www.inclitaseaweedsolutions.com/,,,,Extraction,"Blue Bio Value,RDI Partners,Fundo Azul,Indico Capital Partners",,2018,checked,"$3,400,000",Pilot / Demonstration
Indian Ocean Greens,Australia,Farming & harvesting,http://www.indianoceanseavegetables.com.au/,,Aquaculture,,,,,2019,checked,$0,Validation / Traction
Indigrow,UK,Applications,https://www.indigrow.com/,Ascophyllum nodosum,,,,,,,,$0,
Indo Lestari Algaco,Indonesia,Farming & harvesting,https://www.linkedin.com/company/pt-indo-lestari-algaco/,,Nearshore,,,,,2023,,$0,
Indo Seaweed,Indonesia,Applications,https://www.ingredientsnetwork.com/pt-indo-seaweed-comp249189.html,"Kappaphycus alvarezii,Eucheuma denticulatum",,Hydrocolloids,Carrageenan,,,,,$0,
Indoflora Cipta Mandiri,Indonesia,Applications,https://indofloraseaweed.com/,,,Hydrocolloids,"Carrageenan,Agar",,,,,$0,
Indogum (Gumindo Perkasa Industri),Indonesia,Applications,https://indogum.com/,,,Hydrocolloids,Carrageenan,,,,,$0,
Indoking Aneka Agar-Agar Industry,Indonesia,Applications,http://indoking.co.id/,,,Hydrocolloids,Agar,,,,,$0,
Indomakmur,Indonesia,Applications,https://www.linkedin.com/company/pt-indomakmur-food-ingredients-manufacturer/about/,,,Hydrocolloids,,,,2000,,$0,
Indonesia Seaweed Industry Association (ASTRULI) ,Indonesia,Multi-stakeholder platform,https://www.indonesiaseaweed.com/,,,,,,Producers association,,,$0,
Indonusa Algaemas Prima,Indonesia,Applications,http://algaemas.com/,,,Hydrocolloids,Carrageenan,,,,,$0,
Indosky ,Indonesia,Applications,,,,Hydrocolloids,Carrageenan,,,,,$0,
Industrial Plankton,Canada,Infrastructure & equipment,https://industrialplankton.com/,,,,,,,,,$0,
Ingredients Solutions Inc.,USA,Applications,https://www.isi.us.com/,,,Hydrocolloids,"Agar,Alginate,Carrageenan",,,,,$0,
Innovactiv,Canada,Applications,https://innovactiv.com/,Saccharina longicruris,,"Nutraceuticals,Personal care",,,,,,$0,
INTAKE,South Korea,Applications,https://www.intakefoods.kr/,,,Food,Seafood substitute,,,2013,checked,$0,Validation / Traction
