,Scientific Name,Common name,Division,Micro/Macro,Color,Water type (marine/fresh/brackish/terrestrial),Geographic Positioning within Europe,Habitat,Invasive?,"Invasive information (where, how, strategies, etc.)",Water temperature for growth (C),Optimal water temperature for growth (C),Salinity for growth (PSU),Depth range (m),Is the algae facing changes with rising sea temp?,Unnamed: 15,Temperature tolerance,Thickness/size,Status (impacted by humans?),Already on the market?,Listed in EU Novel Food Catalogue,Food supplement at Union list of Novel Foods,"production cost (high or low and what does that mean, laborintensive, complex processing)",Can it be grown in a polyculture?,Where/how is it grown? lab/farm/wild,Growth rate + specify if in wild or cultivation (can be in terms of biomass yield) ,Harvesting/collection methods,Time of Harvest (incl # times a year),processing/extraction methods,Country (that uses the algae),Region in europe,Seaboard,Nutritional Profile,take up,of meavy metals (Y/N),Companies using the algae + their product,Industrial applications,Extracts,Agriculture,Art materials + cosmetics,Packaging + materials,Environment,Carrier of other organisms?,Human consumption,Medicinal,Risks + dangers,usage within agriculture + products,medicinal,Flavor/Diet,medicinal/health,Flavor/Diet.1,other,Additional properties,Unnamed: 53,Synonyms,Genus,Species
42,Colpomenia peregrina,"oyster thief, bladder weed, balloons, Irish: Gadaí oisrí.",Phaeophyta,Macro,brown,marine,Iberia to southern Norway,on seaweeds/oysters in intertidal zone,yes,"Particularly invasive in the Eastern USA, many non-native populations in Europe; can cause issues with oyster fisheries; linked website has information on steps to take to limit spread; invasive in Ireland",-15 to 10 °C,,30-35,0 to 10 m,,,,3-7cm long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colpomenia,peregrina
43,Corallina officinalis,common coral weed,Rhodophyta,Macro,red,marine,"Azores, Portugal, Spain, Netherlands, Baltic Sea, Norway, Faroes and Iceland",forms a turf in pools and wet gullies from the mid tidal level to the sublittoral fringe; rock pools on the middle to lower shore. Occurs as scattered clumps in the sublittoral; flourishes in exposed conditions. Occasionally found on mollusc shells or macroalgae such as Furcellaria,no,,-4 to 28 °C,,20-40,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,phenolic compounds - Anti-photoaging activity and inhibition of matrix metalloproteinase,,,,,,,,,,,,,,,,Corallina,officinalis
44,Cyanidium caldarium,,Rhodophyta,Micro,red,freshwater,,does not appear to occur in Europe; dominates in low-pH hot springs in North America,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyanidium,caldarium
45,Cyanobacteria,,,Micro,blue-green,freshwater,FRESHWATER inland lakes in Europe and North America,,,,,,,,,"yes, increased runoff is feeding cyanobacteria growth in bodies of freshwater",,,,yes,,,,yes,,,,,,,,,high in protein and amino acids,,,,,,,,,,,,,,"biofuels, cosmetics, neutreceuticals, will be useful in development of sustainable agriculture practice - fertilizers. Bioplastic.",,"used for dietary supplemetns, food products","Production for dietary supplements is being challeneged because it requires less regulation/quality control, so come consumers are wary of the product. Some cyanobacteria produce toxins which can be harmful to the liver and central nervous system and alkanoids that affect the renal/gastrointestinal systems.",,,,,,Cyanobacteria,
46,Delesseria sanguinea,,Rhodophyta,Macro,red,marine,"British Isles on all coasts except parts of east England, Portugal, Spain, France, Faroes, Norway, Iceland",Epilithic or epiphytic on Laminaria in low littoral pools and sublittoral,no,,-15 to 5 °C,,15-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delesseria,sanguinea
47,Dictyopteris polypodioides,,Phaeophyta,Macro,brown,marine,Netherlands to the Mediterranean,large pools at low water and shallow subtidal,no,,-20 to 10 °C,,30-40,10 to 25 m,,,,,,,,,,,,,,,,,,,,,,Dalton marine cosmetics uses D. membranacea in its skincare to prevent premature skin aging,,,,,,,,,,,,,,,,,,,Dictyopteris membranacea,Dictyopteris,polypodioides
48,Dictyosiphon foeniculaceus,clawed fork weed. New source: Golden sea hair,Phaeophyta,Macro,brown,"marine, brackish","Occurs in the coasts of Ireland and UK on rocks and stones in shallow subtitle on sheltered to moderately exposed coasts. Also found in Denmark, Norway, and Sweden)","rock, epiphytically on other seaweeds, and in free-floating mats. It grows along protected shorelines and in estuaries.",no,,"in a study focusing on life cycle of species in context of cultivation preferred temperatures for stages were given: the bialgal culture, 10 and 14℃-LD conditions were suitable for macrothallus formation, 18℃-SD, LD conditions were suitable for the growth of prostrate thalli, and 22℃-SD conditions were suitable for the formation of plurilocular sporangia. New source: samples were taken from wild populations with water of 6C",-15 °C,"16PSU, thrive in less saline waters: contained lightly sulphated fucoidans - less than others in the study. The study suggests that species which thrive in saline waters may contain more sulphated fucoidans as a means of mitigating osmotic stress",0 to 10 m,Yes,a study of a species very similar found that it prefered cooler temperatures (+ has low temp tolerance),upper survival limit: 26-27C,"30-90cm in height, branches eith diameter of 25mm. New source: up to 40cm tall",,no - not used for any commercial purpose,,,,,"common in the Baltic Sea, cultivation is possible but only with individuals that have no sexual organs (receptacles), it would be possible to use the others as seed biomass for aquaculture but must be investigated further. biofouling organisms are a big challenge in cultivation - dessication regualrly or in large cultivation tanks absent of biofouling organisms. New source: 2 organic growth regulators - PSIS contained in seawater or some algae and another is MIS secreted from specific yellow bacteria being parasitic on the host",Relatively slow growing - compared to others species in study (0.05 ± 0.01 % wet weight/week - average in study was 1.68 ±0.27 %/week),,Not clear - one study harvested in May (in Baltic Sea/Northern hemisphere),"Clean/wash, dry, grind into fine powder, extract usign a solvent (water, ethanol e.g. 99% v/v ethanol), extract (methods differn depending on compound/product: maceration, Soxhlet extraction, or ultrasound-assisted extraction)","Used in Europe: Norway, through the Baltic, Faroe Islands, Italy, England, Ireland",Mainly northern europe (+ southern europe),,"Calcium, Magnesium, Potassium, Sodium, Iron, Manganese, Zinc. New source: low lipid, carbohydrate, and protein content (relative to others in study)",,,,,,,,,able to raise pH above 9 and thus may be capable of also utilising HCO3− for photosynthesis,,,pharmeceuticals,,,therepeutic properties particularly in the treatment of glioblastoma and uveal melanoma (anti-tumour/cancer properties). also contains fucoidans which have potential medicinal applications.,,,,,,,,Dictyosiphon,foeniculaceus
49,Dictyota dichotoma,divided net weed,Phaeophyta,Macro,brown,marine,"Mediterranean, Azores, Portugal, Atlantic coasts of Spain and France, Baltic Sea, Norway.",Littoral rock pools and sublittoral,no,,-20 to 10 °C,,30--40,0 to 30 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dictyota,dichotoma
50,Dictyota spp.,Dictyota brown algae,Phaeophyta,Macro,,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dictyota,
51,Dilsea carnosa,"red rags, false dulse, poor man's weather glass, sea belt",Rhodophyta,Macro,red,marine,"British Isles including the Shetlands and the Channel Islands; Portugal, Spain, France, Baltic Sea, Norway, Spitzbergen, Iceland",lower littoral to shallow sublittoral attached to rocks,no,,-15 to 10 °C,,25-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iridaea edulis,Dilsea,carnosa
52,Dumontia contorta,dumont's tubular weed,Rhodophyta,Macro,red,marine,"France, Ireland, Netherlands, North Atlantic Ocean, Norway, Sweden","rock and pebbles, shallow open pools, upper intertidal to shallow subtidal",no,,-15 to 5 °C,-15 to 10 °C,25-35,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dumontia,contorta
53,Dumontia spp.,,Rhodophyta,Macro,red,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dumontia,
54,Dunaliella salina,"tahalib (arabic), saltpool whip algae",Chlorophyta,Micro,"green but high salinity can change it to orange, red, or pink","marine, freshwater",,"high salinity environments such as salted brines, salt evaporation ponds, and hypersaline lakes",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,biofuels,,,,,,,,,,,,,,,,,,,Dunaliella,salina
55,Dunaliella sp.,,Chlorophyta,Micro,green,"marine, freshwater","Atlantic coasts of Europe and North America, Mediterranean (species dependent)",,,,,,,,,,,,,yes,,,,yes,Grown in cultures in closed photobioreactor,,somewhat difficult - newly developed process of electroflocculation for harvesting these microalgae,In warmer seasons it is easier to harvest,Grown in cultures in closed photobioreactors to produce/be able to extract carotenoids at the same time,,,,"valuable protein, lipid, and carbohydrate content",,,,,,,,,,,,,,"cosmetics, animal feed, yield carotenoids, lipids, glycerol, carbohydrates, and proteins for biofuel, pharmaceuticals, food generation",,"nutritional supplements, food-colorin",,,,,,,Dunaliella,
56,Durvillaea antarctica,,Phaeophyta,Macro,brown,marine,"not found in Europe; fished in waters south of the equator, especially near Antarctica","occurs almost exclusively at exposed, outer coast sites, occasionally intruding into semi-exposed areas (such as behind headlands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durvillaea utilis,Durvillaea,antarctica
57,Ecklonia cava,Ecklonia cava phlorotannins on the Union List of Novel Foods.,Phaeophyta,Macro,brown,marine,does not grow in europe; native to Korea,"rocky shores, from moderate shelter through to exposed coasts and from the low intertidal zone",,,,,,,,,,,,,,"yes, phlorotannins",,,,,,,,,,,,,,,,Dioxinodehydroeckol,,Dioxinodehydroeckol used to promote hair growth,,,,,,,,,,,,,,,,Ecklonia,cava
58,Ecklonia spp.,,Phaeophyta,Macro,brown,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecklonia,
59,Ectocarpus siliculosus,,Phaeophyta,Macro,brown,"marine, brackish, freshwater","North Atlantic Ocean, Germany","temperate, coastal environments throughout the globe",no,,-20 to 5 °C,,5--40,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ectocarpus,siliculosus
60,Eisenia bicyclis,,Phaeophyta,Macro,brown,marine,does not grow in Europe; native to Pacific waters close to Japan,rocks in shallow water,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecklonia bicyclis,Eisenia,bicyclis
61,Erythroglossum laciniatum,flat tongue weed,Rhodophyta,Macro,red,marine,"British Isles including the Shetland Islands and Channel Isles, Mediterranean, Portugal, France",Epilithic in rock pools at extreme low littoral and sublittoral,no,,-15 to 10 °C,,30-35,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porphyra laciniata,Erythroglossum,laciniatum
62,Eucheuma denticulatum,,Rhodophyta,Macro,red,marine,"does not appear to grow in Europe; prefers the southern hemisphere in areas such as Oceania, Africa, and South East Asia","not native, not enough information on invasiveness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,food additive: processed eucheuma seaweed (E407a),,,,,,,,,,,,Eucheuma,denticulatum
63,Eucheuma horridum,,Rhodophyta,Macro,red,marine,does not grow in Europe; native to Indian Ocean,"under low tide, growing from sandy areas to rocky bottoms along a coral reef, where water movement is slow to moderate",potentially,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucheuma,horridum
64,Eucheuma spp.,,Rhodophyta,Macro,"red, purple, brown, green",marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucheuma,
65,Euglena gracilis,,,Micro,green,freshwater,global,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,Used by Dalton marine cosmetics in their unicellular microalga euglena gracilis extract,,,,,,,,,,,,,,,,,,,,Euglena,gracilis
66,Euglena sp.,,,Micro,green,"marine, brackish, freshwater, terrestrial","found globally in freshwater, brackish, and marine ecosystems",,no,,,,,,,Grows optimally between 27C and 30C,,,,yes,,,,yes,,,,,Often dried and then refined into a powder. Also made into biofuel,,,,"14 vitamins (including C and D) Iron, Calcium, amino acids, unsaturated fatty amino acids",,,,,,,,,,,,,,"Biofuel, nutraceuticals, and possibly bioremediation",possibly cancer treatments,,"Euglenoid genomes present a particular sequencing challenge because they are an example of secondary endosymbiosis – housing mitochondria, chloroplasts, and remnants of genetic material from organisms they enveloped to acquire these organelles.",,,,,,Euglena,
67,Fucus ceranoides,,Phaeophyta,Macro,brown,"marine, brackish",north-west Europe,"widely distributed in north-west Europe but is only common in brackish water. It is characteristic of estuaries and is often abundant where freshwater streams run onto the shore. The species is found on the middle part of the shore, where it attaches to stones, rocks or gravel",no,,-15 to 10 °C,,30-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fucus,ceranoides
68,Fucus distichus subsp. evanescens,,Phaeophyta,Macro,brown,marine,"Baltic Sea, North Sea, Germany, Battegat, Sea of Okhotsk, Skagerrak, UK, Sweden, North Atlantic",Occurs in rock pools and on rock faces in the upper eulittoral at wave exposed locations in Scotland & Ireland.,yes,considered invasive in Denmark,-20 to 0 °C,,18-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fucus,distichus subsp. evanescens
69,Fucus evanescens,,Phaeophyta,Macro,brown,marine,,middle to high intertidal zone. Epilithic,yes,considered invasive in Denmark,,,,,,"Yes but because of changes in grazer populations, not because of a direct influence of sea temperature on the algae","species within genus max temp 23C or 25C (23; Fucis gardneri, 25C; Fucus spiralis)",,,yes,,,,yes,,,,year round,,consumed in Korea,,,"rich in vitamins a and c, iron, potassium, and iodine",,,,,,,,,,,,,,,"agent for anticoagulent, antithrombin, antitumor, anti HIV, experimental data on uses during in vitro and in vivo medicine, known for treating stomach disorders, hangovers,",,,,,,,,Fucus,evanescens
70,Fucus serratus,"Toothed wrack or Serrated Wrack, saw wrack; Irish: Feamainn dhubh, Míoránach,",Phaeophyta,Macro,,marine,"British and Irish coasts, Northern Portugal and the Atlantic coast of France; British Isles, North Sea coasts and into the western Baltic; Scandinavia up to Novaya Zemlya; Iceland and the Gulf of St. Lawrence in the western north Atlantic.","wave-exposed shores, rocky substrate",no,,0 to 20 °C,,20 (maximal growth rate) (critical limit for recruitment at 7 PSU),0 to 10 m,Yes,"low temperature tolarance, predicted extinction south of latitude 45 thus could lose its genetic diversity and adaptability in next 200 years","population dependent (e.g. between spain + britain) - Spanish population recovered from 32C, Britain/Danish/Norwegian populations didn't recover from 28C. New source: species within genus max temp 23C or 25C (Fucus gardneri, 25C; Fucus spiralis)","2cm thick, 60cm tall","increasing temperatures is predicted to cause a mass extintion of populations south of lat 45 degrees causing decrease in genetic diversity in next 200 years. New source: Nova Scotia, Canada is expariancing invasive behavior from this algae and extension into the intertidal zone - likely due to increasing temparatures from climate change",yes,yes,,,yes,mainly harvesting from wild stocks (Fucus sp.),,"Harvested easiest at lowtide, New source: by hand","On the shores, year round",,"Ireland, UK",Northern Europe,,"high in iodine, good for use as a tonic food",,,,,,land fertiliser,Ireland: used in bodycare/seaweed baths,used as packing material to transport shellfish,,,"Good to use in salads, stir frys, and other food items. Also works as a thickening agent in cooking","antioxidant,",,,,"Good to use in salads, stir frys, and other food items. Also works as a thickening agent in cooking",,,,,,,Fucus,serratus
71,,"Dulamán, Múrach dhubh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"antitumor, antivenom, and anticoagulant",,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,properties,,,,,,,,,,,,
73,Fucus spiralis,"Spiralled wrack, Irish: Feamainn bharr chladaigh, Casfheamainn",Phaeophyta,Macro,brown,"marine, brackish",Ireland,"shallow, rocky, wave-sheltered shore; sometimes salt marsh",no,,-28 to 0 °C,,Oct-35,0 to 5 m,,,,,,,yes,,,,,,,,,,,,,,,,,,fertiliser,Irish body care,,,,,,,,,,,,,,,,Fucus,spiralis
74,Fucus spp.,,Phaeophyta,Macro,brown,"marine, brackish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fucus,
75,Fucus vesiculosus,"Bladderwrack, rockweed, red fucus, dyers fucus, rock wrack, black tang, and bladder fucus; Irish: Feamainn bhoilgíneach",Phaeophyta,Macro,brown,marine,"grows along the coastlines of the Atlantic and Pacific Oceans, the North and Baltic Seas, and various waters in Canada and the United States",rocky shores in the mid-intertida; exposed rocky; sheltered lagoons--very variable,no,,,,one of the few marine species that can survive in the low salinity of the Baltic Sea. New source: 6.5 psu in a study in the West Estonian Archipelago (brackish?),3 to 4 m,yes,"Increased CO2 in the water has been known to decrease growth rate up to 15% in this species, and also lowers tissue density, making the organism weaker to currents/waves/storms. Phlorotannin content can also decrease in this scenario","species within genus max temp 23C or 25C (23C; Fucis gardneri, 25C; Fucus spiralis)",90 cm tall,,yes,yes,"yes, fucoidan extract",,yes,Harvested from natural occurance in the water - very abundant,,"Simple harvest from the water - taken up in nets, loaded onto boat, and brought ashore",March - late October,"development of a method: green biorefinery process for obtaining fucoidan, laminarin, mannitol, alginate and protein using hydrochloric acid + green extrraction solvent",Ireland,,,"calcium, iodine, magnesium, potassium, soidum, zinc, vitamins A and C, and high in phytochemicals which may help to reduce oxidative stress. High in fiber and high in alginic acid and fucoidans. New source: good sources of fucoidan, laminarin, protein and mannitol",Yes,in Gulf of Riga high levels of heavy metals so it is not recommended for food consumption from this area (pollution),Dalton marine cosmetics uses in its skincare to prevent premature skin aging,the algae from the Gulf of Riga is suggested for bioenergy use (instead of human consumption due to high heavy metal conc),,fertiliser,fucoidan in moisturizer - inhibits hyaluronidase enzyme,,,,boiled broth health drink--used as an herbal remedy for thyroid issues,"used for iodine deficiency, obesity, joint pain, aging skin, digestive issues, urinary tract infection, and thyroid dysfunction, including hyperthyroidism, hypothyroidism, and goiter development. New source: same effect as some anti biotics (contains a binding site for bacteria that affect humans-some), kelp tablets","May cause skin rashes, need to be cautious not to eat too much due to high sodium, iodine and heavy metals levels.Unsafe for pregnant women.",the algae from the Gulf of Riga is suggested for bioenergy use (instead of human consumption due to high heavy metal conc),"used for iodine deficiency, obesity, joint pain, aging skin, digestive issues, urinary tract infection, and thyroid dysfunction, including hyperthyroidism, hypothyroidism, and goiter development. New source: same effect as some anti biotics (contains a binding site for bacteria that affect humans-some)",,"Though it has been consumed across cultures and the globe for centuries for beliefs in its medicinal and healthful properties, some of the claims are made ahead of the research/science supporting them which has had some impact on the species' credibility. In other senses, the fact that it has been used for generations has made the species more reliable in the eyes of some consumers. May cause skin rashes, need to be cautious not to eat too much due to high sodium, iodine and heavy metals levels.Unsafe for pregnant women.",,,,,,Fucus,vesiculosus
76,Furcellaria lumbricalis,"Denmark: gaffeltang, Estonia: agaric, Finland: haarukkalevä, Germany: Gabeltang, Poland: widlik zaostrzony, Sweden: kräkel",Rhodophyta,Macro,red,marine,Europe (common in waters of northern Europe - Denmark and Norway) and North America(esp. Canada). New source: most areas of the Baltic sea. New Source: Estonia,"epilithic on stable hard substrates such as stony bottoms, boulder fields and rocks",yes,"Considered invasive in Northwest Spain, no other indication of invasiveness in other countries",,10 to 15 °C,one of the few marine species that can survive in the low salinity of the Baltic Sea. New source: 6.5 psu in a study in the West Estonian Archipelago (brackish?). New source: can grow in salinities down to 3 psu,8 to 12 m,yes,"ocean acidification in the Baltic is increasing CO2 levels, and increased water temperature can decrease photosynthetic activity; increased CO2 is good for non-calcifying algae but can have the opposite for others (F. lumbricalis may only be affected by temperature in this case)","relatively tolarant to changes in temp (short and long term), growth ceased at 25C, mortality after 3 months exposure to 27C","fronds 1-17cm tall, thickness ranges depending on part of frond. New source: full size 9-30cm","able to raise pH above 9 and thus may be capable of also utilising HCO3− for photosynthesis, may be advantageous in the context of ocean acidification. New source: Not threatened at the scale of whole Baltic sea, however local and regional historic declines have been caused by habitat destruction (e.g. stone fishing + decreasing transparency due to eutrophication)",yes,,,"potential cost effective and environmetnally friendly applications (paper, New source: biodegradable seedling pots). New source: improved machinery for fast harvest and drying of large volumes, pumpting technies are being developed, cages and fences on seabed (light, strong effective construction needed)",no,Extensive growth in Danish waters - harvested wild,"grows very slowly compared to other red algae, takes long time to reach maturity (5yrs). New source: One study found that the most effective medium for the isolation of carrageenan mixture from Furcellaria lumbricalis-Coccotylus truncatus blend is a 0.05 M KOH solution, and the preferred duration of extraction is 3-4 hours.","commercial beds occur in Denmark where the algae are harvested with trawl nets (in the rest of europe there is insufficient growth for harvesting) which has lead to overexploitation and a fall in production. More sustainable method in Canada - dredging and raking are prohibited and onlt storm cast plants may be gathered. New source: only species from the Baltic sea that is harvested for commercial use, unattached loose-lying form is focus on for harvesting, 4000 tonnes harvested from beachcast and 2000 harvested annually, Norway + Iceland perform bottom trawling for harvest",,"Denmark is currently the cheif producer of furcellaran (genus Furcellaria lumbricalis is in), mostly processing Furcellaria lumbricalis extracted from danish waters. New source: dispersed in cold water then hydrate and swell, then dissolution which requires heating(24-27C), after cooling aqueous form will set to form gels.",,,,"protein content of up to 28%, little information",Yes,"Cu, Al, Fe, Mn, and Zn. New source: a study found higher concentrations compared to other macroalgae species",,"red color (r-phycoerythrin), New source: used as a feedstock for hydrocolloid (carrageneen is a type of hydrocolloid) production (Estonia)",,,,binding agent to improve strength of paper material,,,"in water + milk stabilizers (carrageenan), jams/jellies/marmalades made with this algae as a gelling agent",,,"food industry, in water + milk stabilizers (carrageenan). New source: binding agent to improve strength of paper material. New source: red color (r-phycoerythrin). New source: used as a feedstock for hydrocolloid (carrageneen is a type of hydrocolloid) production (Estonia)",pharmaceuticals,"in water + milk stabilizers/gelling (carrageenan), jams/jellies/marmalades made with this algae as a gelling agent",,,,"Coccotylus truncatus and Furcellaria lumbricalis are often observed together because they usually occur in similar areas. able to raise pH above 9 and thus may be capable of also utilising HCO3− for photosynthesis. New source: There is an urgent need for more research and knowledge building about lifecycle, cultivation techniques, and product value chains for alternative species for open sea cultivations in the region, such as Furcellaria lumbricalis. This is specifically important for the Baltic Sea since species with mature cultivation techniques and infrastructure found in other areas are lacking in the Baltic Sea. “New” production systems must therefore be developed before establishment in possible in the region.",,,Furcellaria,lumbricalis
77,Gelidiella acerosa,Chaffweed,Rhodophyta,Macro,red,marine,"Ireland, North Atlantic","shallow waters of the intertidal and upper subtidal zones. Grows in exposed or shaded areas, attached to calcareous substrates such as coralline rocks, rocks covered by crustose algae, and on sandstones or shells of molluscs",no,,,,30-35,0 to 20 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelidiella,acerosa
78,Gelidium amansii,,Rhodophyta,Macro,red,marine,,does not appear to grow in Europe; native to East Asia,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelidium,amansii
79,Gelidium corneum,,Rhodophyta,Macro,red,marine,Atlantic Europe,"partly shaded habitats, with strong tides and sea currents; prefers growing on slightly sloping regular bedrock, with little to moderate sand sedimentation",no,,-20 to 10 °C,,30-35,0 to 15 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelidium,corneum
80,Gelidium microdon,,Rhodophyta,Macro,red,marine,"Mediterranean, North Atlantic",,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelidium,microdon
81,Gelidium spinosum,spiny straggle weed,Rhodophyta,Macro,red,marine,"Ireland, Mediterranean, Netherlands, North Atlantic","Pools in lower intertidal and subtidal, generally in shaded places",no,,-20 to 10 °C,,20-40,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelidium,spinosum
82,Gelidium spp.,,Rhodophyta,Macro,red,"marine, freshwater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gelidium,
83,Gigartina pistillata,ribbon algae,Rhodophyta,Macro,red,marine,"France, Ireland, Mediterranean, North Atlantic, North Sea","Epilithic, lower littoral and upper sublittoral in shelter and areas with some exposure to wave",no,,-20 to 10 °C,,30-35,0 to 10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gigartina,pistillata
84,Gigartina spp.,,Rhodophyta,Macro,,marine,,,,,,,,"0.30-50cm, not well in depths over 1m",,,,,,,,,,,,,,,,,,,,,,,biomass for energy generation,,feed for marine animals (eg abalone),,,candidates for removal of nutrients for wastewater treatment,,,,,,,,,,,,,,Gigartina,
85,Gracilaria bursa-pastoris,shepherd's purse wartweed,Rhodophyta,Macro,red,marine,"Southern England, parts of Ireland, Mediterranean, Portugal, Atlantic coast of Spain",Epilithic in the upper sublittoral,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gracilaria compressa,Gracilaria,bursa-pastoris
86,Gracilaria corticata,,Rhodophyta,Macro,red,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gracilaria,corticata
87,Gracilaria gracilis,slender wartweed,Rhodophyta,Macro,red,marine,"North Eastern Atlantic from southern Norway to Spain, Mediterranean","grows on rocky shores in sheltered locations, often in sandy areas",no,,-15 to 10 °C,,30-40,0 to 10 m,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gracilaria,gracilis
88,Gracilaria multipartita,cleaved wartweed,Rhodophyta,Macro,red,marine,"Celtic Sea, Mediterranean, North Atlantic","rocks or other hard substrata, tolerating a wide degree of wave exposure",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gracilaria,multipartita
89,Gracilaria spp.,,Rhodophyta,Macro,red,,,,,,-27 to 20 °C,,25-35ppt,,,,,,,,,,,,vegetative propagation method or spore method,,"sun-dry on cement for 3 days, clean, and stored in sacks; wet weight: dry weight is 10:1; recommended that fronds of around 2cm left on rope to continue growing; raft method: raft is brought to shore for drying",45-60 days after growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gracilaria,
90,Gracilaria vermiculophylla,,Rhodophyta,Macro,red,,"Germany, Sweden, Denmark, Spain","estuarine habitats, often in shallow water, including intertidal marshes and mudflats, seagrass beds, and systems receiving freshwater inflows and high nutrient inputs",Yes,"Spain, North America, Europe",-30 °C,,May-40,< 5 m,,,,,,,,,,,,,,,Table - PMC (nih.gov),,,,,,,,"biofuels, agar","Cholesterol, 1-tetradecanol, 1-hexadecanol, 1-octadecanol, 1-eicosanol, 1-docosanol, Sterols, Monoacylglycerol, Mycrosporine-like aminoacids, α-tocopherol, Gallic acid, Protocatechuic acid, Gentisic acid, Hydroxybenzoic acid, vVnillic acid, Syringic acid, Long chain aliphatic alcohols","animal feed, fertilizer",,,,,yes,,,,,,,,,,,,Gracilaria,vermiculophylla
91,Gracilariopsis longissima,"thin dragon beard plant, longest wartweed",Rhodophyta,Macro,red,,"Ireland, England, Scotland, Mediterranean, France, Netherlands, Denmark","sublittoral, often on mobile sbustrates",no,,,-30 to 25 °C,25-28ppt,0.5 to 1 m,,,,,,,yes,,"Two to three persons in a family can handle the operations and earn from ₹12,000 to ₹15,000 a month. (The average net income per annum per farmer is ₹75,000 which works out to ₹6500 per month per farmer. In a family, if two to three members are involved in seaweed farming, they can earn about ₹12,200–₹18,000, which is near to the approximation of ₹12,000–₹15,000 a month.)",,floating raft method or spore culture method,,,,,,,,,,,,,,,,,,,can be eaten raw or in salads and used as food0grade agr-agar,,,,,,,"100% organic--fertilizers, growth hormones, pesticides, etc. not necessary because it absorbs nutrients (N, P, etc.) from the seawater",,,,Gracilaria verrucosa,Gracilariopsis,longissima
92,Graesiella emersonii,,Chlorophyta,Micro,green,freshwater,Germany,"soil, freshwater, and brackish water",no,,,,,,,,,,,,,,,,,,,,,,,,,,,,often used as a model for anti-fouling tests and ecotoxicology,,,,,,,,,,,,,,,,,,Chlorella emersonii,Graesiella,emersonii
